kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-3.6.sm_70.ptx 147 : 3 12 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 146 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 145 : 3 19 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 144 : 3 20 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 143 : 3 14 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 142 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 141 : 3 12 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 140 : 3 20 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 139 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 138 : 3 20 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 137 : 3 18 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 67 : 1 10 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 66 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 65 : 1 24 0 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 64 : 1 12 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 62 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 60 : 1 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 59 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 58 : 1 341 32 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 57 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 56 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 135 : 1000000 6635376 0 0 0 0 0 0 3 
bfs-rodinia-3.6.sm_70.ptx 55 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 134 : 1000000 8581280 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 54 : 1 6 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 133 : 1000000 369910432 999744 0 0 31250 31250 0 0 
bfs-rodinia-3.6.sm_70.ptx 53 : 1 4 0 0 0 1 1 0 0 
bfs-rodinia-3.6.sm_70.ptx 132 : 1000000 11601984 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 52 : 1 5 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 131 : 1000000 8050432 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 63 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 100 : 1000448 7419552 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 50 : 1000000 6795579 0 0 0 0 0 0 1 
bfs-rodinia-3.6.sm_70.ptx 49 : 1000000 9740128 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 128 : 1000448 2816 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 48 : 1000000 370527808 1000000 0 0 31250 31250 0 0 
bfs-rodinia-3.6.sm_70.ptx 127 : 1000448 9782304 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 36 : 1000448 13043296 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 35 : 1000448 13120384 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 34 : 1000448 13393984 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 33 : 1000448 13778784 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 68 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 31 : 1000448 30144256 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 32 : 1000448 15689696 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 37 : 1000448 13141536 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 38 : 1000448 6946464 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 39 : 1000448 6641568 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 118 : 1000448 24058560 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 40 : 1000448 7036256 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 119 : 1000448 14278592 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 41 : 1000448 12463488 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 120 : 1000448 13427072 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 42 : 1000448 13588128 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 121 : 1000448 13094912 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 43 : 1000448 2560 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 122 : 1000448 13209728 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 45 : 1000000 8874240 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 124 : 1000448 6560320 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 46 : 1000000 8349024 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 125 : 1000448 6865312 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 47 : 1000000 11609888 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 126 : 1000448 12977312 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 69 : 1 8 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 70 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 71 : 1 9 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 150 : 1000448 6830176 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 74 : 3 445 32 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 75 : 3 18 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 76 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 77 : 3 579 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 78 : 3 18 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 79 : 3 0 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 81 : 3 241 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 82 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 83 : 3 236 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 84 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 85 : 3 21 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 86 : 3 129 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 87 : 3 20 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 88 : 3 12 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 89 : 3 72 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 90 : 3 72 0 0 0 3 3 0 0 
bfs-rodinia-3.6.sm_70.ptx 93 : 3 27 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 94 : 3 29 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 95 : 3 236 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 96 : 3 18 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 97 : 3 10 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 123 : 1000448 7363712 0 0 0 0 0 0 0 
bfs-rodinia-3.6.sm_70.ptx 130 : 1000000 8104832 0 0 0 0 0 0 0 
