kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian-rodinia-3.6.sm_70.ptx 139 : 1628 6512 0 0 0 291 104 0 0 
gaussian-rodinia-3.6.sm_70.ptx 138 : 1628 14652 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 137 : 1628 416292 0 0 0 291 104 0 0 
gaussian-rodinia-3.6.sm_70.ptx 136 : 1628 14652 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 135 : 1628 14652 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 134 : 1628 14708 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 133 : 1628 133054 0 0 0 1628 104 0 0 
gaussian-rodinia-3.6.sm_70.ptx 132 : 1628 532660 0 0 0 104 104 0 0 
gaussian-rodinia-3.6.sm_70.ptx 131 : 1628 14716 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 130 : 1628 16248 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 129 : 1628 15148 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 60 : 1827 35645 0 0 0 1827 63 0 0 
gaussian-rodinia-3.6.sm_70.ptx 59 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 58 : 1827 80388 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 57 : 1827 494850 0 0 0 1827 63 0 0 
gaussian-rodinia-3.6.sm_70.ptx 56 : 1827 354368 0 0 0 63 63 0 0 
gaussian-rodinia-3.6.sm_70.ptx 55 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 54 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 53 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 52 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 51 : 1827 18270 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 50 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 49 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 128 : 1628 9768 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 48 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 84 : 346112 4499296 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 47 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 126 : 332968 1690382 0 0 0 0 0 0 104 
gaussian-rodinia-3.6.sm_70.ptx 83 : 346112 4273184 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 46 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 125 : 332968 2077270 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 82 : 346112 8557696 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 45 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 124 : 332968 9215614 0 0 0 187190 10660 0 0 
gaussian-rodinia-3.6.sm_70.ptx 44 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 123 : 332968 3020040 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 33 : 2304 13056 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 112 : 332968 3735120 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 32 : 2304 18048 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 111 : 332968 3764610 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 31 : 2304 27200 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 110 : 332968 3391952 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 30 : 2304 26560 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 109 : 332968 3138898 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 28 : 2304 10720 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 107 : 332968 3412796 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 29 : 2304 16160 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 108 : 332968 3250508 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 63 : 2304 11520 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 142 : 346112 1749984 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 34 : 2304 11776 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 113 : 332968 3762366 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 35 : 2304 23040 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 114 : 332968 3451714 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 36 : 2304 22368 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 115 : 332968 4355944 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 37 : 2304 20736 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 116 : 332968 119982662 0 0 0 11960 10660 0 0 
gaussian-rodinia-3.6.sm_70.ptx 38 : 2304 13824 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 117 : 332968 134018912 0 0 0 166890 10660 0 0 
gaussian-rodinia-3.6.sm_70.ptx 39 : 2304 2385 0 0 0 0 0 0 9 
gaussian-rodinia-3.6.sm_70.ptx 118 : 332968 3019378 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 41 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 120 : 332968 3019506 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 42 : 1827 10962 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 121 : 332968 3012052 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 43 : 1827 16443 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 122 : 332968 102401676 0 0 0 187190 10660 0 0 
gaussian-rodinia-3.6.sm_70.ptx 85 : 346112 4499456 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 86 : 346112 4622336 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 87 : 346112 3665280 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 88 : 346112 2314304 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 89 : 346112 2129792 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 90 : 346112 2387456 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 91 : 346112 4607168 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 92 : 346112 3943424 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 93 : 346112 3849376 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 94 : 346112 2306688 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 95 : 346112 49684 0 0 0 0 0 0 832 
gaussian-rodinia-3.6.sm_70.ptx 97 : 338624 2149960 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 98 : 338624 2139892 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 99 : 338624 2542790 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 100 : 338624 4087784 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 101 : 338624 3910840 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 102 : 338624 2543206 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 103 : 338624 61080 0 0 0 0 0 0 52 
gaussian-rodinia-3.6.sm_70.ptx 105 : 332968 3081092 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 106 : 332968 3581898 0 0 0 0 0 0 0 
gaussian-rodinia-3.6.sm_70.ptx 119 : 332968 3043386 0 0 0 0 0 0 0 
