kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lud-rodinia-3.10.sm_62.ptx 1526 : 107776 1133728 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1525 : 107776 878944 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1524 : 107776 1117472 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1523 : 107776 853472 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1522 : 107776 855584 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1521 : 107776 37505728 0 0 0 13472 3368 0 0 
lud-rodinia-3.10.sm_62.ptx 1520 : 107776 1122336 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1519 : 107776 1184576 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1518 : 107776 1397600 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1517 : 107776 1137856 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1516 : 107776 1132288 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1515 : 107776 940192 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1514 : 107776 1192160 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1513 : 107776 888032 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1512 : 107776 904576 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1511 : 107776 1216160 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1510 : 107776 1526048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1509 : 107776 827200 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1508 : 107776 680928 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1507 : 107776 717632 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1506 : 107776 1138592 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1505 : 107776 1431680 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1504 : 107776 1377664 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1503 : 107776 1942208 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1485 : 1344 6720 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1482 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1481 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1480 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1479 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1478 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1477 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1476 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1475 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1474 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1473 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1472 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1471 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1470 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1469 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1468 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1467 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1466 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1465 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1464 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1463 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1462 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1461 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1460 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1459 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1458 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1457 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1456 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1455 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1454 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1453 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1452 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1451 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1450 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1449 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1448 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1447 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1446 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1445 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1444 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1443 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1442 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1441 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1440 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1439 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1438 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1437 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1436 : 672 17472 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1435 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1434 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1433 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1432 : 672 16800 0 42 42 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1431 : 672 6720 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1430 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1429 : 672 2016 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1428 : 672 2016 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1427 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1426 : 672 4032 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1425 : 672 2016 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1424 : 672 4032 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1423 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1422 : 672 4704 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1421 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1420 : 672 4032 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1419 : 672 3360 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1418 : 672 3360 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1323 : 672 3360 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1415 : 672 3360 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1414 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1413 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1412 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1411 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1410 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1409 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1408 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1407 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1406 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1405 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1404 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1403 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1402 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1401 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1400 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1399 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1398 : 672 2688 0 0 0 84 42 0 0 
lud-rodinia-3.10.sm_62.ptx 1397 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1396 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1395 : 672 6048 0 0 0 0 0 0 0 
lud-rodinia-3.10.sm_62.ptx 1394 : 672 2688 0 0 0 84 42 0 0 
