kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
myocyte-rodinia-3.5.sm_62.ptx 5455 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5453 : 1 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5452 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5451 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5099 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5098 : 1 0 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5097 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5096 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5087 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5086 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5085 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 5084 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2383 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2382 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2381 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2380 : 1 13 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2379 : 1 6 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2224 : 1 10 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2223 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 288 : 1 10 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 287 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2447 : 1 10 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 2446 : 1 5 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 184 : 2 20 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 183 : 2 10 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 150 : 2 20 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 149 : 2 10 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6472 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6469 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6468 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6456 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6455 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6454 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6453 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6452 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6451 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6450 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6449 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6448 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6447 : 5 25 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6446 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6445 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6444 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6443 : 5 55 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6442 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6441 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6440 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6439 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6438 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6437 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6436 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6435 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6434 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6433 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6432 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6431 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6430 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6429 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6428 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6427 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6426 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6425 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6424 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6423 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6422 : 5 25 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6421 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6420 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6419 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6418 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6417 : 5 55 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6416 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6415 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6414 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6413 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6412 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6411 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6410 : 5 525 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6409 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6408 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6407 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6406 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6405 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6404 : 5 25 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6403 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6402 : 5 220 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6401 : 5 55 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6400 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6399 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6398 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6397 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6396 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6395 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6394 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6393 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6392 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6391 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6390 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6389 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6388 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6387 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6386 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6385 : 5 525 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6384 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6383 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6382 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6381 : 5 55 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6380 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6379 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6378 : 5 25 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6377 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6376 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6375 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6374 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6373 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6372 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6371 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6370 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6369 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6368 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6367 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6366 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6365 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6364 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6363 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6362 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6361 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6360 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6359 : 5 20 0 0 0 5 5 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6358 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6357 : 5 50 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6356 : 5 45 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6355 : 5 55 0 0 0 0 0 0 0 
myocyte-rodinia-3.5.sm_62.ptx 6354 : 5 50 0 0 0 0 0 0 0 
