kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nn-rodinia-3.6.sm_70.ptx 57 : 42764 174480 0 0 0 5346 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 56 : 42764 4502028 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 55 : 42764 430168 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 54 : 42764 388012 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 53 : 42764 387864 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 52 : 42764 1081568 0 0 0 10691 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 51 : 42764 386668 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 60 : 43008 215488 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 50 : 42764 15218400 0 0 0 10691 1337 0 0 
nn-rodinia-3.6.sm_70.ptx 49 : 42764 422060 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 48 : 42764 459096 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 47 : 42764 443404 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 46 : 42764 418936 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 34 : 43008 415232 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 33 : 43008 574464 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 32 : 43008 559104 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 31 : 43008 559104 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 29 : 43008 1062912 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 30 : 43008 523776 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 35 : 43008 276480 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 36 : 43008 273408 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 37 : 43008 589824 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 38 : 43008 354048 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 39 : 43008 299456 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 40 : 43008 457248 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 41 : 43008 298016 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 42 : 43008 1668 0 0 0 0 0 0 1 
nn-rodinia-3.6.sm_70.ptx 44 : 42764 598196 0 0 0 0 0 0 0 
nn-rodinia-3.6.sm_70.ptx 45 : 42764 302272 0 0 0 0 0 0 0 
