kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw-rodinia-3.6.sm_70.ptx 680 : 1248 6240 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 679 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 678 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 677 : 1248 4992 0 0 0 156 78 0 0 
nw-rodinia-3.6.sm_70.ptx 676 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 675 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 674 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 673 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 672 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 671 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 670 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 669 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 668 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 667 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 666 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 665 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 664 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 663 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 662 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 661 : 1248 4992 0 0 0 156 78 0 0 
nw-rodinia-3.6.sm_70.ptx 660 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 659 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 658 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 657 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 656 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 655 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 654 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 653 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 652 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 651 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 650 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 649 : 1248 4992 0 0 0 234 78 0 0 
nw-rodinia-3.6.sm_70.ptx 648 : 1248 32448 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 647 : 1248 32448 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 646 : 1248 32448 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 645 : 1248 32448 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 644 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 643 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 642 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 641 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 640 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 639 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 638 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 637 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 636 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 635 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 634 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 633 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 632 : 1248 31200 0 78 78 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 631 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 630 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 629 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 628 : 1248 11232 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 627 : 1248 7488 0 0 0 0 0 0 0 
nw-rodinia-3.6.sm_70.ptx 626 : 1248 7488 0 0 0 0 0 0 0 
