kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.6.sm_70.ptx 489 : 1 6 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 488 : 1 6 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 487 : 1 6 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 486 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 485 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 484 : 1 24 0 0 0 1 1 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 483 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 482 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 481 : 1 24 0 0 0 1 1 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 480 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 479 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 476 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 475 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 474 : 1 193 0 0 0 1 1 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 473 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 472 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 471 : 1 193 0 0 0 1 1 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 470 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 469 : 1 9 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 456 : 1 5 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 455 : 1 6 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 453 : 1 0 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 452 : 1 6 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 730 : 2 8 0 0 0 2 2 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 729 : 2 8 0 0 0 2 2 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 726 : 2 8 0 2 2 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 725 : 2 8 0 2 2 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 722 : 51 245 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 721 : 51 306 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 720 : 51 510 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 719 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 718 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 717 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 716 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 715 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 714 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 713 : 51 5280 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 712 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 711 : 51 5280 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 710 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 709 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 708 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 707 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 706 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 705 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 704 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 703 : 51 459 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 702 : 51 1224 0 0 0 51 51 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 701 : 51 463 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 698 : 2 16 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 697 : 2 14 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 696 : 2 18 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 695 : 2 20 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 694 : 2 18 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 692 : 2 0 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 572 : 229888 1740416 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 569 : 14368 125388 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 568 : 14368 136708 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 567 : 14368 459140 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 566 : 14368 453368 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 565 : 14368 174474 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 564 : 14368 122908 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 563 : 14368 128240 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 561 : 14368 455722 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 560 : 14368 453822 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 538 : 28736 237252 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 525 : 57472 717264 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 524 : 57472 485672 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 523 : 57472 513840 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 522 : 57472 547080 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 521 : 57472 1853408 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 520 : 57472 1824488 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 519 : 57472 719312 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 518 : 57472 456392 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 517 : 57472 443256 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 515 : 229888 1219968 0 0 0 0 0 0 7184 
srad_v1-rodinia-3.6.sm_70.ptx 514 : 229888 1729632 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 513 : 229888 1705664 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 512 : 229888 1836352 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 509 : 114944 947840 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 508 : 114944 1090912 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 507 : 114944 3567536 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 506 : 114944 3564992 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 505 : 114944 1447472 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 504 : 114944 962768 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 503 : 114944 908016 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 502 : 114944 1084176 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 165 : 230912 1844896 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 501 : 114944 3482144 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 164 : 230912 0 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 500 : 114944 3426464 0 7184 7184 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 163 : 230912 2628704 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 528 : 57472 545688 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 361 : 230912 8544 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 527 : 57472 1837920 0 7184 7184 0 0 0 0 
